STT,Trích yếu,Số đến,Số ký hiệu,Ngày văn bản,Ngày đến,Đơn vị ban hành,Nội dung,Ngày hết hạn,Người xử lý cuối,Thời gian xử lý,Số hồ sơ,Mã hồ sơ,Ghi chú
10,"Về kết quả rà soát, thống kê các điểm tiềm ẩn tai nạn giao thông trên địa bàn huyện Phúc Thọ",,611/UBND,01/01/2000,,UBND huyện Phúc Thọ,,,,,,,
9,phương án đấu nối đường điện 500kva,,#006/UBND,01/01/2000,,UBND huyện Phúc Thọ,,,,,,,
0,"Báo cáo Kết quả thực hiện kết luận của đồng chí Dương Đức Tuấn, Phó Chủ tịch UBND Thành phố tại cuộc họp với UBND huyện Phúc Thọ về lĩnh vực quy hoạch, xây dựng và quản lý đầu tư phát triển đô thị",,001/BC-QLĐT,01/01/2000,,Quản lý đô thị,,,,,,,
8,V/v giải quyết đơn của ông Đinh Thế Thuấn trú tại xã Liên Hiệp ( về chỉ giới cụm công nghiệp liên hiệp),,001/QLĐT,01/01/2000,,Quản lý đô thị,,,,,,,
7,danh mục quản lý hạ tầng kỹ thuật,,000/QLĐT,01/01/2000,,Quản lý đô thị,,,,,,,
6,"V/v thông báo kết quả thẩm định báo cáo kinh tế kỹ thuật xây dựng công trình: dự án: duy tu, sửa chữa tuyến đường liên xã Thanh Đa - Tam Thuấn -Hát Môn, tuyến đường đi thôn Trung xã Tam Thuấn",,256/QLĐT-TĐ,01/01/2000,,Quản lý đô thị,,,,,,,
5,Giấy phép các bến thủy nội địa,,000/GPBTNĐ-SGTVT,01/01/2000,,Sở Giao thông vận tải,,,,,,,
4,đề án sáp nhập xã,,dt02/ĐA-UBND,01/01/2000,,UBND huyện Phúc Thọ,,,,,,,
1,"Về công tác Quy hoạch, phát triển đô thị, Kế hoạch đầu tư công và giải ngân vốn đầu tư công Huyện Phúc Thọ năm 2023 (Phục vụ buổi làm việc của đồng chí Dương Đức Tuấn - Thành ủy viên, Phó Chủ tịch UBND Thành phố tại huyện Phúc Thọ)",,001/BC-UBND,01/01/2000,,UBND huyện Phúc Thọ,,,,,,,
3,chỉnh lý tài liệu,,000/chinhly-QLĐT,01/01/2000,,Quản lý đô thị,,,,,,,
2,báo cáo quy chế quản lý kiến trúc,,dt01/BC-UBND,01/01/2000,,UBND huyện Phúc Thọ,,,,,,,
11,"điều chỉnh dự án QL 32, 2004",,2392/QĐ-BTGVT,09/08/2004,,Bộ Giao thông vận tải,,,,,,,
12,"giải phóng mặt bằng, dự án QL 32, 2004",,2581/QĐ-BTGVT,30/08/2004,,Bộ Giao thông vận tải,,,,,,,
13,phê duyệt Quy hoạch chung xây dựng Thủ đô Hà Nội đến năm 2030 và tầm nhìn đến năm 2050,,1259/QĐ-TTg,26/07/2011,,Thủ tướng,,,,,,,
